,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
455,45.073,-94.3145,,ANDERSON CHEMICAL CO,55355NDRSN405SO,405 S HUBBARD,LITCHFIELD,MEEKER,MN,55355
456,45.085,-94.3218,,PALM INDUSTRIES INC,55355PLMNDBOX56,61385 US HWY 12,LITCHFIELD,MEEKER,MN,55355
457,45.0735,-94.3141,,TOWMASTER INC,55355TWMST61318,61318 W HWY 12,LITCHFIELD,MEEKER,MN,55355
458,45.573,-93.373,,WEST TECH INC,55356VNDLN2725W,2725 WAYZATA BLVD,LONG LAKE,HENNEPIN,MN,55356
459,44.593,-93.353,,WASHINGTON SCIENTIFIC IND LONG LAKE PLANT,55356WSHNG2605W,2605 W WAYZATA BLVD,LONG LAKE,HENNEPIN,MN,55356
460,45.1402,-93.59,,SUN PATIO/ WARRIOR BOATS,55358SNPTN400HW,400 HWY 55,MAPLE LAKE,WRIGHT,MN,55358
461,45.0027,-93.3925,,ELECTROCHEMICALS INC,55359CRCTC5129I,5129 INDUSTRIAL ST,MAPLE PLAIN,HENNEPIN,MN,55359
462,45.0043,-93.3953,,MACDERMID ENTHONE AMERICA LLC,55359LCTRC5630P,5630 PIONEER CREEK DR,MAPLE PLAIN,HENNEPIN,MN,55359
463,45.0047,-93.3948,,INNOVEX INC.,55359NNVXN5540P,5540 PIONEER CREEK DR,MAPLE PLAIN,HENNEPIN,MN,55359
466,45.182,-90.4738,,BONDHUS CORP,55362BNDHS1400E,1400 E BROADWAY,MONTICELLO,WRIGHT,MN,55362
468,45.1814,-93.4751,,CARGILL KITCHEN SOLUTIONS INC,55362SNNYF207W4,206 W 4TH ST,MONTICELLO,WRIGHT,MN,55362
469,45.1728,-93.4725,,STANDARD IRON and WIRE WORKS INC,55362STNDR207DU,207 DUNDAS RD,MONTICELLO,WRIGHT,MN,55362
470,45.1735,-93.4706,TWIN CITY DIE CASTINGS CO,TWIN CITY DIE CASTINGS CO,55362TWNCT520CH,520 CHELSEA RD,MONTICELLO,WRIGHT,MN,55362
471,45.0354,-93.5626,,KNIGHT COLORS and CHEMICALS CO,55363KNGHT2515U,2515 US HWY 12 SW,MONTROSE,WRIGHT,MN,55363
